Gene_name	Cilia_comments	Cilium_comments	Centrosome_comments	Flagella_comments	Flagellum_comments	Cilia	Cilium	Centrosome	Flagella	Flagellum
CFLAR	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TFPI	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
NDUFAF7	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RBM5	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MTMR7	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SLC7A2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ARF5	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SARM1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
POLDIP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PLXND1	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
AK2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CD38	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
FKBP4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
KDM1A	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
RBM6	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
CAMKK1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RECQL	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
VPS50	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
HSPB6	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ARHGAP33	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
NDUFAB1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PDK4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SLC22A16	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ZMYND10	Ciliated cells - Cilium organization,Endometrial ciliated cells,Respiratory ciliated cells,Ciliated cells - Cilium organization	Ciliated cells - Cilium organization,Ciliated cells - Cilium organization	NA	NA	NA	YES	YES	NO	NO	NO
ABCB5	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ARX	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SLC25A13	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ST7	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CDC27	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
SLC4A1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CALCR	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
HCCS	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
DVL2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PRSS22	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
UPF1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SKAP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SLC25A5	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MCUB	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
HOXA11	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
POLR2J	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
DHX33	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
MEOX1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
THSD7A	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
LIG3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RPAP3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ACSM3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
REXO5	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CIAPIN1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SPPL2B	NA	NA	Mainly localized to the nucleoplasm & plasma membrane. In addition localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	NA	NA	NO	NO	YES	NO	NO
FAM214B	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
COPZ2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PRKAR2B	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MSL3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CREBBP	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TSPOAP1	Endometrial ciliated cells,Respiratory ciliated cells	NA	NA	NA	NA	YES	NO	NO	NO	NO
MPO	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PON1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
GCFC2	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
WDR54	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells - Cilium assembly,Endometrial ciliated cells,Respiratory ciliated cells,Ciliated cells - Cilium organization,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	Ciliated cells - Cilium assembly,Ciliated cells - Cilium organization	NA	NA	NA	YES	YES	NO	NO	NO
CROT	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ABCB4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
KMT2E	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RHBDD2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SOX8	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
IBTK	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ZNF195	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MYCBP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
FBXL3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ITGAL	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PDK2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ITGA3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ZFX	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
LAMP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ITGA2B	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ASB4	Respiratory ciliated cells	NA	NA	NA	NA	YES	NO	NO	NO	NO
GDE1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
REX1BD	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CRLF1	Respiratory ciliated cells	NA	NA	NA	NA	YES	NO	NO	NO	NO
OSBPL7	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TMEM98	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
YBX2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
KRT33A	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MAP3K14	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ABCC8	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CACNG3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TMEM132A	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
AP2B1	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
TAC1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ZNF263	NA	NA	NA	NA	Spermatids - Flagellum & Golgi organization	NO	NO	NO	NO	YES
CX3CL1	Most normal tissues showed moderate cytoplasmic staining. Strong staining was observed in microvilli and cilia. A subset of lymphoid cells and gastric parietal cells showed strong cytoplasmic staining.	NA	NA	NA	NA	YES	NO	NO	NO	NO
SPATA20	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CACNA1G	Strong cytoplasmic immunoreactivity was observed in muscle cells, adipose tissue and in stroma. Cilia of fallopian tube and respiratory epithelia were strongly positive. Most other normal tissues showed weak to moderate cytoplasmic staining. Lymphoid tissues were negative.	NA	NA	NA	NA	YES	NO	NO	NO	NO
TNFRSF12A	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
DLX6	Endometrial ciliated cells	NA	NA	NA	NA	YES	NO	NO	NO	NO
MAP3K9	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RALA	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
BAIAP2L1	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (ciliary rootlets),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (ciliary rootlets)	NA	NA	NA	NA	YES	NO	NO	NO	NO
KDM7A	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ETV1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
AGK	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ALDH3B1	Expression in several tissues, including ciliated cells of respiratory epithelia and fallopian tube.,Endometrial ciliated cells,Respiratory ciliated cells,Ciliated cells - Cilium organization,Most of the normal tissues displayed weak to moderate cytoplasmic and membranous positivity. Cilia in the respiratory tract and fallopian tubes were strongly stained. Cells in CNS and seminiferous ducts showed nuclear staining. Strong luminal membranous staining was observed in renal tubules. Several tissues showed distinct staining of basal membrane. Squamous epithelia and lymphoid tissues were generally negative.	Ciliated cells - Cilium organization	NA	NA	NA	YES	YES	NO	NO	NO
TTC22	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PHTF2	Normal cells generally displayed moderate to strong nuclear positivity. Cilia in the fallopian tube and airway epithelium were distinctly positive. Muscle and cells in the CNS were generally negative.	NA	NA	NA	NA	YES	NO	NO	NO	NO
CCL26	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
FARP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
USH1C	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
GGCT	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
DBF4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TBXA2R	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
IFRD1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
LGALS14	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
COX10	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
GTF2IRD1	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
PAF1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
VPS41	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ARHGAP44	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ELAC2	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
SCIN	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ARSD	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PNPLA4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MYH13	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ADIPOR2	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
CDKL3	NA	NA	NA	NA	Spermatids - Flagellum & Golgi organization	NO	NO	NO	NO	YES
UPP2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PRSS21	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
MARK4	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
PROM1	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Respiratory ciliated cells,Glandular cells generally displayed strong positivity in luminal membranes often combined with additional weak cytoplasmic staining. Cilia showed distinct immunoreactivity. Remaining normal cell types were in general negative.,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
CCDC124	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
